"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
2009-10-01,"12739.6728","1485.1773000000001","5632.0787300000002","1488.4249700000003","5446.0784699999995","395.72369000000043","763.27670000000023","33343.186270000006","17839.266970000004","54212.788069999995","133345.67397"
2009-11-01,"7193.3404400000009","2369.7792899999999","8086.3832400000001","1270.6851800000002","6503.7626199999995","1917.5600400000005","48.113140000000598","23628.872049999998","10113.115890000001","38555.137679999985","99686.749569999985"
2009-12-01,"10187.831960000001","1635.8468400000002","5006.52988","1416.7404199999999","7981.3579399999999","1029.8742699999998","7.6222400000002235","19779.539980000001","8780.9174199999998","45217.535969999997","101043.79691999999"
2010-01-01,"3465.058","1332.1849399999999","3977.9248300000004","2008.7101700000005","4813.5504000000001","925.53553000000045","6.4904300000001678","28868.300630000002","20002.67654","44463.767969999994","109864.19944"
2010-02-01,"1006.1394","1183.213","3520.0507399999997","1173.1180300000005","4283.6462200000005","836.39932999999951","8.6678700000001125","8361.1084100000007","7831.0126900000005","37899.797340000005","66103.153030000001"
2010-03-01,,"607.69452000000001","4589.1683200000007","2269.2447500000012","6106.7374600000021","1000.5187300000002","1987.7603200000001","12852.731349999998","10103.06561","53889.458880000013","93406.379940000013"
2010-04-01,"92.569000000000003","404.28614999999996","7605.9378300000017","1626.3765100000003","4930.4018300000007","807.6456300000001","3113.02288","21236.760300000002","6968.1380200000012","39819.364070000011","86604.502220000009"
2010-05-01,"2727.2511600000003","262.76096999999999","8313.6626100000012","3210.8172100000006","5607.1859200000035","893.66975000000036","2778.1578399999999","37359.959130000003","22936.469499999996","41839.218529999998","125929.15262000001"
2010-06-01,"4708.9849999999997","609.28805","11027.449990000001","1836.8904100000002","4677.1209000000017","969.8577899999998","2309.45082","35163.021269999997","23857.067700000003","53830.65724","138989.78917"
2010-07-01,"11162.767800000001","1014.1256100000001","10998.196200000002","2381.1449499999999","5351.8502400000016","2054.8258000000001","996.43960000000004","50871.684740000004","24830.699209999999","46691.014330000005","156352.74848000001"
2010-08-01,"13637.48883","1822.71658","10392.867400000001","1356.5602299999998","5867.3344600000028","2583.4010999999996","2398.9887899999999","31927.040330000003","14831.16316","51572.370470000023","136389.93135000003"
2010-09-01,"6951.443220000001","1839.61745","9642.7798000000003","2250.5721799999997","5893.2022499999975","1738.1237499999997","1432.2206899999999","31139.992740000002","21077.60889","65993.28995999998","147958.85092999999"
2010-10-01,"1506.4369300000001","1887.3021099999999","11024.490830000001","3217.4769600000004","6761.137700000002","1024.8233300000004","132.43764999999945","45278.671029999998","13878.240879999999","61975.06531999998","146686.08273999998"
2010-11-01,"29.79","2451.5675099999999","6952.6893899999995","1797.8116399999992","8028.5086100000017","225.1919700000002","1732.5132300000005","18950.575880000004","11952.422759999999","46754.480800000005","98875.551790000012"
