"MES","BPCR01","BPCR02","BPCR03","BPCR04","BPCR05","BPCR06","BPCR07","BPCR08","BPCR09","BPCR10"
2014-08-01,"22603706.125716902",29730015.23623,13898873.17573,1962776.97292,1723991.43296,3044883.34554,3026213.0522,1708832.66899,781188.81279,78480480.8230769
2014-09-01,"22456867.048305463",30360441.14563,14082458.55832,1973332.38799,1764737.07982,3090946.36138,3067644.90961,1740689.05603,799759.80962,79336876.3567055
2014-10-01,"22562535.033846892",30860042.92272,14274450.50575,2018969.24588,1802915.06434,3138907.35093,3125355.16661,1749811.10156,817561.45604,80350547.8476769
2014-11-01,"23015807.378623795",31579719.42159,14456182.43568,2044359.72312,1836450.6772,3186868.95686,3165095.923,1772040.67271,829992.12819,81886517.3169738
2014-12-01,"23339181.30541892",32401720.66793,14533977.65806,2046541.46239,1859214.61028,3241526.67453,3203467.94008,1800843.73239,851472.01758,83277946.0686589
2015-01-01,"23189394.236918919",32232033.35885,14633908.62428,2040438.35732,1879900.74716,3237402.8838,3205961.92789,1802164.21639,852289.69452,83073494.0471289
2015-02-01,"23331965.125368811",32632320.21258,14797897.9889,2046558.09251,1902007.94178,3281128.02773,3258023.12666,1845580.44281,859349.73938,83954830.6977188
2015-03-01,"23533726.241169423",33255149.42499,14967414.55121,2067185.60129,1926445.04232,3319187.68451,3301323.48937,1885384.4882,870139.14357,85125955.6666294
2015-04-01,"23849806.50360154",34487234.65199,15233196.01399,2103301.07367,1958776.11156,3355387.9853,3362966.70854,1960785.05558,883106.66252,87194560.7667516
2015-05-01,"23982094.389566686",35713582.09434,15395924.99056,2150382.76036,1981714.77536,3394115.33061,3420592.40527,1969766.21256,902844.1624,88911017.1210267
2015-06-01,"24201727.24430668",36449727.79293,15542907.40904,2167341.26982,2009781.01737,3449048.21545,3459250.03873,1971968.13319,916066.92578,90167818.0466167
2015-07-01,"24500562.283862125",37122948.77489,15821713.96678,2198676.30872,1997372.76798,3485470.37567,3540748.96832,1989136.91216,930033.37112,91586663.7295021
2015-08-01,"24810698.359092131",37871416.9343,15959164.50868,2233026.06477,2034131.26213,3537713.89586,3576731.2394,2006489.70728,942398.63639,92971770.6079021
2015-09-01,"25118717.215652131",38258739.30601,16196772.39143,2250069.76731,2073611.75743,3606695.94826,3629673.8237,2021012.17182,954328.3014,94109620.6830121
2015-10-01,"25494017.26988066",39075545.09966,16390397.63616,2311844.92499,2109808.4777,3658047.0066,3681343.30784,2044425.71762,969152.94534,95734582.3857906
2015-11-01,"25772722.797622453",40155393.21921,16659761.93999,2331347.44226,2156956.22829,3706987.45764,3735113.36605,2068765.92857,982610.3843,97569658.7639325
2015-12-01,"26293188.496411338",40960372.63932,16918130.48858,2340457.75129,2171979.33225,3786469.87581,3800405.33378,2125666.73384,996982.81892,99393653.4702013
