"MES","STBL01","STBL02","STBL03","STBL04","STBL05","STBL06","STBL07","STBL08","STBL09","STBL10","STBL11","STBL12"
2006-07-01,"8.06","8.06","8.06","8.06","7.96","8.0332878113542669","7.9436415143817971","7.96","8.06","300000000","0","0"
2006-08-01,"8.0554545454545501","8.0559090909090951","8.0559090909090951","8.0554545454545501","7.9554545454545424","8.0169662665899342","7.9391560346035135","7.95","8.0500000000000007","330000000","0","0"
2006-09-01,"8.0500000000000007","8.0500000000000007","8.0500000000000007","8.0500000000000007","7.95","8.0102314013354015","7.9348061751033097","7.95","8.0500000000000007","315000000","0","0"
2006-10-01,"8.0500000000000007","8.0500000000000007","8.0500000000000007","8.0500000000000007","7.95","8.0107714944406911","7.934210206300131","7.95","8.0500000000000007","330000000","0","0"
2006-11-01,"8.0500000000000007","8.0500000000000007","8.0500000000000007","8.0500000000000007","7.95","8.0134437012696491","7.9359638522879052","7.95","8.0500000000000007","315000000","0","0"
2006-12-01,"8.0380000000000003","8.0389999999999979","8.0389999999999979","8.0380000000000003","7.9380000000000024","8.0000239404017641","7.9218538606824165","7.93","8.0299999999999994","300000000","0","0"
2007-01-01,"8.0150000000000006","8.0159090909090889","8.0159090909090889","8.0154838709677367","7.9154838709677398","7.9811782830021212","7.9017316065767025","7.91","8.01","330000000","0","0"
2007-02-01,"8.0044444444444469","8.0066666666666677","8.0066666666666677","8.0050000000000008","7.9049999999999994","7.9834783546217354","7.8872195203188253","7.89","7.99","270000000","0","0"
2007-03-01,"7.99","7.99","7.99","7.99","7.89","7.9534585846607602","7.8731126350651914","7.89","7.99","330000000","0","0"
2007-04-01,"7.99","7.99","7.99","7.99","7.89","7.9568474535039648","7.8730149255346493","7.89","7.99","300000000","0","0"
2007-05-01,"7.97","7.97","7.97","7.9770967741935479","7.8770967741935509","7.9448890676275195","7.8588103894546935","7.87","7.97","330000000","0","0"
2007-06-01,"7.95","7.95","7.95","7.9599999999999946","7.8599999999999985","7.914229287015714","7.8417076420813805","7.85","7.95","300000000","0","0"
2007-07-01,"7.9080952380952381","7.9080952380952381","7.9080952380952381","7.9099999999999975","7.81","7.8818573471430131","7.7892824188978631","7.77","7.87","315000000","0","0"
2007-08-01,"7.833636363636364","7.833636363636364","7.833636363636364","7.8377419354838747","7.7377419354838697","7.8023914045076594","7.7158067597754103","7.71","7.81","330000000","0","0"
2007-09-01,"7.81","7.81","7.81","7.81","7.71","7.768312816693995","7.6884750877972836","7.71","7.81","300000000","0","0"
2007-10-01,"7.7978260869565243","7.7978260869565243","7.7978260869565243","7.7983870967741939","7.6983870967741899","7.7566008738998944","7.6754190349369766","7.67","7.77","345000000","0","0"
