"MES","BCMA01","BCMA02","BCMA03","BCMA04","BCMA05","BCMA06","BCMA07","BCMA08","BCMA09","BCMA10","BCMA11","BCMA12","BCMA13","BCMA14","BCMA15","BCMA16","BCMA17","BCMA18"
2006-06-01,"24364782.185156267","24615571.703316666","250789.51816039998","1168836.5813400003","1470815.6720719999","7506474.7127306852","7506474.7127306852","0","24142414.834703606","23947347.169995219","18965237.520216417","0","855846.41842893313","4126263.2313498687","195067.6647083865","-209385.57066560001","4695823.8242586683","63139762.239595637"
2006-07-01,"25862910.858236596","26084058.638364997","221147.78012839999","1168836.5813400003","1471144.9910428","7466210.4607867971","7466210.4607867971","0","24448717.873981655","24248533.63000327","19188705.211366422","0","979336.0320089329","4080492.3866279172","200184.24397838651","-218766.39648920001","4830431.8765365435","65029486.245435186"
2006-08-01,"27106703.176782951","27293916.243746951","187213.06696400003","1167368.1936750002","1451040.2161050001","7543379.7080994081","7543379.7080994081","0","24544524.733889334","24344957.584255695","19397106.654363059","0","915711.66569190333","4032139.2642007335","199567.14963363975","-217671.22074250001","4910299.8879979039","66505644.695807092"
2006-09-01,"28266252.239539448","28488304.641136449","222052.40159699999","1167368.1936750002","1450892.5140089998","7491483.4268142916","7491483.4268142916","0","24713765.401649341","24517717.8606757","19582535.32789306","0","912874.19116190332","4022308.341620734","196047.54097363976","-214549.795843","5333316.8798093759","68208528.859653458"
2006-10-01,"29234129.02234295","29446826.447966952","212697.42562400002","1167368.1936750002","1398402.0789315","7528053.1462198207","7528053.1462198207","0","24716328.950837832","24519639.311514191","19592432.195603058","0","900714.13837190345","4026492.977539232","196689.63932363974","-219460.1485065","5158718.4271571143","68983539.670657709"
2006-11-01,"30786156.196700949","30933769.807282448","147613.61058149999","1167368.1936750002","1398550.176063","7603419.6108763898","7603419.6108763898","0","24802371.096327834","24615430.529144194","19854017.994573057","0","837220.97763190349","3924191.5569392326","186940.56718363977","-216632.88185899996","5473746.1448971424","71014978.536681324"
2006-12-01,"31564801.173988752","31766046.122829251","201244.9488405","1164431.4183450001","1394996.8377163","7741449.5879381103","7741449.5879381103","0","24935874.383618671","24751735.290758673","20131491.403036352","0","778774.7468103437","3841469.1409119768","184139.09286000003","-222901.02164090003","5385343.6216683676","71963996.0016343"
2007-01-01,"32854918.28672016","33059738.71379786","204820.42707769998","1161494.643015","1462035.4806049999","7776068.1467725504","7776068.1467725504","0","24680313.281559505","24500282.482349504","19770138.692019638","0","923703.71450878412","3806440.0758210835","180030.79921","-211337.4844177","5747967.7726621199","73471460.126916632"
2007-02-01,"34142820.398590073","34347203.769054376","204383.37046429998","1158557.8676849999","1460612.4809016001","7845465.6092693433","7845465.6092693433","0","24748463.845599666","24568985.095399667","19812676.336472929","0","958249.02063722454","3798059.7382895122","179478.75020000001","-223365.44823879999","5964541.8972249636","75097096.651031837"
2007-03-01,"35455954.703394376","35618627.448316276","162672.74492189998","1158557.8676849999","1460325.9078171002","7550185.9311838066","7550185.9311838066","0","25027680.774220232","24849505.059580233","20200957.500602931","0","819123.55720722454","3829424.0017700796","178175.71463999999","-233619.54665480001","6308673.6806842126","76727759.318329915"
2007-04-01,"36766897.259553678","36923981.808736578","157084.54918290002","1158557.8676849999","1513295.9949210002","7626559.9052212965","7626559.9052212965","0","25440674.948627692","25262810.73369769","20637623.257632926","0","801531.34010722453","3823656.1359575382","177864.21492999999","-209421.77079179997","6236222.454924671","78532786.660141543"
