"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
2007-08-01,"653759.38668","80708.91177999998","171011.06868000003","402039.40621999995","252836.81901000001","3003366.5917600002","2998612.7756600003","2955419.9558700006","0","26865.719209999999","16327.100579999998","4753.8161","13321.40987","211823.7983599999","4135108.0056800004"
2007-09-01,"635316.27885999996","84292.133819999988","181452.42147","369571.72356999997","242212.80066000001","3094994.2869199994","3091401.5933399992","3048951.4078899994","0","26016.518150000004","16433.667299999997","3592.6935800000006","15199.179970000001","215855.76313000004","4203578.3095399989"
2007-10-01,"611354.51603000006","88505.650260000009","194392.69866999995","328456.16710000002","236600.88682999997","3206204.0101000001","3202624.2324299999","3162046.6670599999","0","24974.376580000004","15603.18879","3579.7776700000004","21087.98302","233139.41265000001","4308386.8086300008"
2007-11-01,"593837.16622000001","94708.439170000012","215053.61881000001","284075.10823999997","242010.36987000002","3298649.5716700004","3295082.6538200006","3255984.2522600004","0","24780.049250000004","14318.35231","3566.9178500000003","18976.01136","222342.27874999997","4375815.3978700005"
2007-12-01,"649731.25115000003","85663.61851","248316.87075","315750.76189000002","222312.33503000002","3372334.3424199997","3368773.1308399998","3335783.2194499997","0","20361.312330000001","12628.59906","3561.2115800000001","28071.349580000002","220231.81839999993","4492681.0965800006"
2008-01-01,"636812.7349599998","98616.623169999992","210702.04982999992","327494.06195999996","227472.44052999996","3422981.0987999993","3419432.6362299994","3387413.5075899996","0","20368.839769999999","11650.28887","3548.4625700000001","22808.263450000002","231989.20897999994","4542063.7467199992"
2008-02-01,"643063.28518000001","89476.234779999999","273535.63315000001","280051.41725","233737.83772000001","3494661.0798900002","3491125.3722600001","3453038.2628000001","0","26698.042270000002","11389.067190000002","3535.7076300000003","20320.050050000002","237119.05316999994","4628901.3060100004"
2008-03-01,"644339.60193999996","100420.75587000001","278459.29945999995","265459.54660999996","225476.01881000001","3578352.4023999996","3570515.9508199994","3532469.2205299996","0","27076.750919999999","10969.979370000001","7836.4515799999999","19787.868210000001","245150.60935000004","4713106.5007099994"
2008-04-01,"613693.33639999991","109571.89742000002","253108.37382999991","251013.06514999998","234348.69335999998","3676966.4592400002","3669766.6869100002","3635214.1118300003","0","23853.610629999996","10698.964450000001","7199.7723300000007","18841.377949999998","244812.52565000005","4788662.3925999999"
2008-05-01,"631765.88974000001","99826.087669999994","232475.47617000004","299464.32590000005","208332.34047999998","3757737.9444800005","3754783.3601700007","3718283.6264900006","0","25454.112150000001","11045.62153","2954.5843100000002","18765.40495","262656.20406999998","4879257.7837200006"
2008-06-01,"658543.45010000002","108070.31297","250088.45282000003","300384.68430999998","195787.99111999999","3877317.9057199997","3874383.7074299995","3838498.4235999994","0","24947.631390000002","10937.652440000002","2934.1982900000003","16596.195470000002","257292.21307000003","5005537.7554799989"
2008-07-01,"632367.77873999998","97055.741509999993","237503.02355999997","297809.01367000007","204930.59757000001","3970718.8865300012","3967791.777040001","3932057.1778300009","0","24222.473050000001","11512.126159999998","2927.1094899999998","17196.931420000001","278807.8147799999","5104022.0090400008"
2008-08-01,"720324.42093999998","105052.53036","266441.83239","348830.05819000001","218530.89989","4071493.3154799999","4068568.31128","4031757.1592899999","0","25304.884550000002","11506.267440000001","2925.0042000000003","13690.724259999999","277962.33926999994","5302001.6998399999"
2008-09-01,"652422.06380999996","122796.3985","261040.54561000003","268585.11969999998","230332.59428000002","4179973.641199999","4177074.4060199992","4138570.8784599989","0","27283.615489999996","11219.91207","2899.2351799999997","18090.463390000001","276815.24250000005","5357634.0051799994"
2008-10-01,"717836.53859999997","119311.94093000001","322395.92593999999","276128.67172999994","234850.36213999998","4326048.9357700003","4323129.8091400005","4283451.8599300003","0","28102.788969999998","11575.160239999999","2919.1266299999997","7751.5787300000011","279046.87925999996","5565534.2945000008"
2008-11-01,"760329.34812999994","122302.12443000001","342909.21739999991","295118.00630000001","251707.30048000001","4432792.4355700007","4429873.3286400009","4388942.9582600007","0","29547.259969999999","11383.110410000001","2919.1069299999999","6740.0332899999994","273991.04902999999","5725560.1665000003"
2008-12-01,"855608.51162999996","115711.15007999999","400067.42923999997","339829.93231","275051.69200000004","4645759.1986099994","4642742.1113999998","4602390.2724000001","0","27373.39086","12978.448140000002","3017.0872099999997","25269.090899999999","276030.11369000009","6077718.606829999"
2009-01-01,"926552.88332000002","119392.08378","457523.21441999997","349637.58512","286923.04885000002","4648700.9842999997","4645683.7773699993","4602245.6338399993","0","31049.606670000001","12388.53686","3017.2069300000003","22803.303679999997","285173.82264999993","6170154.042799999"
2009-02-01,"885747.79447000008","136001.25213000001","363410.995","386335.54733999999","449725.53990000003","4657494.0930900015","4654476.8861600012","4601255.8327300008","0","40960.563070000011","12260.49036","3017.2069300000003","16431.104599999999","301830.33639999985","6311228.8684600014"
2009-03-01,"936509.91567000002","123330.00302","389772.03413000004","423407.87852000003","451235.21257999999","4733925.2367500002","4730908.0298199998","4670876.2312599998","0","46649.177029999999","13382.62153","3017.2069300000003","42480.37326","315587.49489999982","6479738.2331600003"
2009-04-01,"1004120.8889900001","136339.88406000001","425501.61241","442279.39252000005","477509.30764000007","4797604.0241800006","4794580.8162500011","4734189.6543500014","0","45895.222559999995","14495.939339999999","3023.20793","26300.965090000002","330799.26856999996","6636334.4544700012"
2009-05-01,"1045945.8010800001","115225.79246","487316.18512000004","443403.82350000006","509773.03586","4851719.40185","4848696.3136400003","4786778.3728600005","0","47350.638630000009","14567.30215","3023.0882099999999","24267.370300000002","336192.69024000003","6767898.2993299998"
2009-06-01,"1151063.6425200002","134514.31438","517712.82260000007","498836.50554000004","546704.27064","4961816.5673200004","4958790.3978000004","4903568.1407400006","0","40076.212649999994","15146.04441","3026.1695200000004","15414.77356","325633.50322000001","7000632.7572600003"
2009-07-01,"1201552.14888","133210.71792","600157.00710000005","468184.42385999998","549861.56454999989","5080938.57075","5078722.8192199999","5020437.7801900003","0","42318.441379999997","15966.59765","2215.75153","13908.82417","335231.50758999999","7181492.6159399999"
2009-08-01,"1346243.54498","146033.48939","729980.23493999999","470229.82065000001","550040.24535999994","5208250.9289999995","5200408.6806599991","5137316.9701399989","0","44162.224680000007","18929.485840000001","7842.2483400000001","15785.589449999999","332904.6267599999","7453224.9355499987"
2009-09-01,"1301668.46459","146488.10081","690712.83942999993","464467.52435000002","529274.86261999991","5367466.0684700012","5356555.3466300014","5292005.9583700011","0","44097.595039999993","20451.79322","10910.72184","16737.478190000002","329724.62789999996","7544871.5017700009"
2009-10-01,"1458238.5751700001","139813.95437999998","831325.48725000001","487099.13353999995","507786.72936000006","5529437.4265799997","5518526.70474","5453961.0326300003","0","43574.543189999997","20991.128920000003","10910.72184","15306.097529999999","342884.5776299999","7853653.4062700002"
