"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
2009-06-01,"5804.22","257.03999999999996","2332.1871700000002","409.51331999999996","6919.3868200000015","12.058729999999997","25.539999999999992","119874.86","16679.617999999999","43629.16526352003","195918.07484352004"
2009-07-01,"19815.55","317.8","2167.1410000000001","729.45503000000008","7678.1541900000002","11.92408","23.740000000000009","123279.348","20236.088","57619.54425639999","231855.02829639998"
2009-08-01,"26170.07","567.14","1646.634","587.66287999999997","9381.5572200000006","10.014640000000004","4.3499999999999943","134536.821","30524.316999999999","63125.62292232005","266549.84401232004"
2009-09-01,"32749.088","434.06999999999994","1533.64221","732.1007800000001","10058.42092","5.9603899999999985","4.8700000000000045","114579.68614999999","24723.323","84256.325335159985","269072.62165515998"
2009-10-01,"32465.228999999999","429.99999999999994","1560.3153700000003","703.11081000000001","10881.28","26.01258","31.579999999999984","94155.450400000002","22114.377","108707.07133999998","271042.87807999999"
2009-11-01,"17335.728999999999","719.36999999999989","2177.9775","604.39130000000011","12674.136129999999","16.40889","2.1100000000000136","66918.139950000012","12441.365","68345.540521560048","181233.06040156004"
2009-12-01,"24880.600000000002","458.74579999999992","1337.9953","603.86307000000011","13472.351090000002","15.356740000000004","0.46999999999999886","55334.517999999996","10439.668","72722.792064210385","179265.8905342104"
2010-01-01,"8011.2","413.16149999999993","867.94243999999992","935.13544000000002","8891.0092099999965","6.8039199999999997","0.30000000000001137","77688.009999999995","24130.314999999999","67189.907324361993","188133.48513436201"
2010-02-01,"2053","393.97","806.4370899999999","834.95670999999993","8167.5753000000013","2.3383099999999994","0.59000000000000341","25329.828000000001","9108.8880000000008","56418.808966359989","103115.80296636"
2010-03-01,,"227.78499999999994","1038.7237700000001","1329.8102600000002","10093.599990000001","11.738830000000002","102.85999999999999","40223.851449999995","11551.601000000001","67103.003493579992","131580.21665357999"
2010-04-01,"121.2","143.25","1638.80576","983.72641999999996","10336.1736","3.207990000000001","173.04","73171.452550000002","8101.5860000000002","43352.902421000006","137852.47778099999"
2010-05-01,"5483.2","117.6","1793.2076600000003","1575.4901200000002","10276.765050000002","7.1841100000000004","149.28","126980.99905","28833.48","46650.738548799956","221718.81381879997"
2010-06-01,"9247","216.32","2293.6267199999998","870.84114000000011","11024.878530000004","14.13025","116.39000000000001","116624.09909999999","31687.963","87424.782048159948","259403.75717815995"
2010-07-01,"20876.12","352.9","2158.34031","955.30852000000004","12716.261759999998","15.321020000000001","50.150000000000006","162511.40890000001","31723.075000000001","69289.349995199955","300598.13565519999"
2010-08-01,"26199.9","514.63999999999987","1965.61384","564.51481000000001","12765.977440000001","7.6838299999999959","120.47","99611.661999999997","18308.451000000001","77866.264752319999","237804.82814231998"
2010-09-01,"12334.7","540.16499999999996","1791.0851199999997","788.15322000000003","17698.133620000001","14.295180000000007","67.460000000000008","95973.186000000002","22661.394","100243.38988101992","252044.56948101995"
2010-10-01,"3350.65","458.14999999999992","1797.1762799999999","1306.67614","13580.251510000002","9.1383800000000033","7.619999999999993","135932.81150000001","14459.807000000001","75757.206032200003","246651.87446220001"
2010-11-01,"36","595.01799999999992","1134.4675599999998","764.88631999999996","18169.822030000007","15.517629999999997","91.11999999999999","51236.642999999996","11678.523000000001","43329.599613383994","126960.56827338401"
2010-12-01,"69.600000000000009","402.56549999999993","640.76045999999997","1022.56197","18649.46084","16.797250000000009","37.540000000000006","20784.696","9980.5930000000008","49445.374842313991","101012.44740231399"
2011-01-01,"51.6","279.77999999999997","679.61338999999998","775.04793000000006","10419.693580000003","7.5698099999999986","85.78","71199.17","7159.56","35907.74446863999","126479.86495864"
2011-02-01,"51.6","210.24249999999998","849.36462000000006","782.06706000000008","8972.1120200000005","7.7161100000000005","52.78","16316.653","1733.538","35958.697695589995","64882.043785589995"
2011-03-01,,"113.39999999999999","975.93493000000012","1236.6812199999999","9853.0095500000007","4.0971200000000012","85.93","22060.385999999999","6630.7539999999999","39560.323229199988","80434.671979199993"
2011-04-01,,"37.099999999999994","1711.4026000000001","980.97086000000013","8729.0803799999994","10.043659999999997","1.6099999999999994","26443.849000000002","13674.894","37241.524684800002","88828.866794800007"
2011-05-01,"51.6","40.599999999999994","1860.3716799999997","1226.8267700000004","9617.7378600000011","7.4164399999999997","76.95","96159.014500000005","20270.773000000001","28324.278012799961","157558.6952128"
