"MES","BCBP01","BCBP02","BCBP03","BCBP04","BCBP05","BCBP06","BCBP07","BCBP08","BCBP09","BCBP10","BCBP11","BCBP12","BCBP13","BCBP14","BCBP15","BCBP16","BCBP17","BCBP18","BCBP19","BCBP20","BCBP21","BCBP22","BCBP23","BCBP24","BCBP25","BCBP26","BCBP27","BCBP28","BCBP29","BCBP30","BCBP31","BCBP32"
2002-07-01,"6568242.4989999998","2108396.4989999998","4459846","932574","3527272","0",,"13273220.618517799","4173641","229042","3944599","0",,"8811835","71050","8377863","340589","22333","287744.6185178","30187","256627.6185178","930",,"5733968.4338800004","2482909.5950000002",,"3009069.51988","241989.31899999999","211516.61799999999","2611543.4736000001","9950184.2844821997","6946802.426"
2002-08-01,"6749829.2429999998","2107944.2429999998","4641885","998645","3643240","0",,"13569185.269087199","4334713","293928","4040785","0",,"8951970","58210","8537778","333672","22310","282502.26908719999","36756","244808.26908719999","938",,"5763083.7061200012","2773045.8430000003",,"2754768.8851200002","235268.97799999997","214168.42499999999","2229066.6918000001","10005365.0229128","7135474.1909999996"
2002-09-01,"6822335.5529999994","2112766.5529999998","4709569","1074340","3635229","0",,"14139474.493389999","4483109","268550","4214559","0",,"9431460","37810","9072833","298557","22260","224905.49338999999","39796","184164.49338999999","945",,"5367303.1543200007","2534832.3770000003",,"2606983.6003200002","225487.177","218850.38","2195720.1362699997","9641843.0676099993","7370169.4850000003"
2002-10-01,"6892898.5769999996","2011413.577","4881485","1034479","3847006","0",,"14500305.632889399","4517810","273372","4244438","0",,"9770490","62356","9448888","258968","278","212005.6328894","36258","174796.6328894","951",,"5482354.5205199998","2770610.0369999995",,"2480250.6035200004","231493.88","215545.66899999999","2254381.6756199999","9678795.8191106003","7502542.4989999998"
2002-11-01,"7210296.273","2177181.273","5033115","970069","4063046","0",,"14665604.0003209","4625266","303757","4321509","0",,"9794051","42160","9502116","249707","68","246287.0003209","41282","204048.0003209","957",,"5084989.5777200004","2575233.3669999996",,"2273991.1407200005","235765.07","217175.353","2219323.0207400001","9558154.1126790997","7603235.04"
2002-12-01,"8140950.9639999997","2707462.9640000002","5433488","1227190","4206298","0",,"15085795.367752399","4881322","322529","4558793","0",,"9969760","52180","9666446","234986","16148","234713.36775239999","43803","189946.36775239999","964",,"4549199.5739200003","2284711.44",,"2020709.11992","243779.014","214813.52499999999","3294954.6001200005","8743784.0462476015","8219600.5980000012"
2003-01-01,"7699184.0140000004","2321892.9410000001","5377291.0730000008","1060205.7239999999","4317085.3490000004","0",,"15393393.413933998","5175560.2740000002","323046.527","4852513.7470000004","0",,"10031468.225999998","56057.953999999998","9717984.9039999992","222823.802","34601.565999999999","186364.91393400001","32861.550999999999","152533.134934","970.22799999999995",,"4588307.0731200008","2228825.35",,"2110659.2601200002","248822.46300000002","218898.12299999999","3281396.4721299997","8863694.4170660004","8438175.4550000001"
2003-02-01,"7252867.2780000009","2379111.821","4873755.4570000004","1003472.895","3870282.5619999999","0",,"14759937.590213502","4809949.5889999997","331106.908","4478842.6809999999","0",,"9771510.5390000027","56211.981","9433882.7700000014","222473.15900000001","58942.629000000001","178477.4622135","34804.216","142700.44121350002","972.80499999999995",,"4800222.0122000007","2340131.983",,"2210006.4652","250083.56400000001","208714.68299999999","3269794.7604999999","8947359.4897865001","8374599.1549999984"
2003-03-01,"7256208.6260000002","2195644.645","5060563.9810000006","1050240.548","4010323.4330000002","0",,"14717768.768076601","4874421.2719999999","320380.18199999997","4554041.09","0",,"9585664.8080000002","55890.417999999998","9238103.1129999999","223142.66099999999","68528.615999999995","257682.6880766","35020.874000000003","221685.14307659998","976.67100000000005",,"4663520.0213200003","2243226.3760000002",,"2169274.0263200002","251019.61900000001","215543.45800000001","3270999.2229000004","9329150.8569233995","7991060.6899999995"
2003-04-01,"7433286.0280000009","2313980.4700000002","5119305.5580000002","964147.50699999998","4155158.051","0",,"14702174.518364303","5033002.193","313648.92099999997","4719353.2719999999","0",,"9468766.0580000021","58672.493999999999","9071650.4940000009","235408.53599999999","103034.534","200406.2673643","40829.300999999999","158599.00736429999","977.95899999999995",,"5045757.0933600003","2601828.6450000005",,"2190716.41536","253212.033","215305.65100000001","3237638.56941","9420323.6956356987","7857590.8770000003"
2003-05-01,"7748503.8819999993","2367267.0079999999","5381236.8739999998","1032010.899","4349225.9749999996","0",,"14894297.8819397","5251295.2939999998","327949.62199999997","4923345.6720000003","0",,"9465339.3699999992","96937.077000000005","9034104.6129999999","240531.21299999999","93766.467000000004","177663.21793970003","34791.298000000003","141851.38793970001","1020.532",,"4734972.9664399996","2431041.3879999998",,"2050016.4924399999","253915.08600000001","220482.86600000001","3245246.3813899998","9277087.5200603008","8101550.4890000001"
