"MES","SEHV01","SEHV02","SEHV03","SEHV04","SEHV05","SEHV06","SEHV07","SEHV08","SEHV09","SEHV10","SEHV11","SEHV12","SEHV13"
2011-12-01,,,"2.0629640629640633","200.30083999999999","1019.2962996653642","362418.57720999996",,,,,,,"362618.87804999994"
2012-01-01,"204.53446193446194","25416.376370000002","1.0200499999999999","56.701819999999998","931.25055629134181","332625.23670999997","229.52056356","229.52056356",,,,,"358098.3149"
2012-02-01,"149.13333333333335","19123.614550000002","0.99199999999999999","37.65164","1091.2350393056943","390777.6286","265.26461169000004","265.26461169000004",,,,,"409938.89478999999"
2012-03-01,,,"0.99042999999999992","37.0837","1217.4118250354816","434169.13242000004","282.55370960999994","282.55370960999994",,,,,"434206.21612000006"
2012-04-01,"480.07352407352414","63601.262799999997","1.0167599999999999","58.151859999999999","1075.4157596805082","403691.8754100001",,,,,,,"467351.2900700001"
2012-05-01,"227.0910008910009","24090.38134","1.01877","58.664749999999998","1281.3701068341279","486402.72187000001",,,,,,,"510551.76796000003"
2012-06-01,"69.455622347622352","8313.8111399999998","1.06789","87.596980000000002","1166.5961065834863","446705.36975999997",,,,,,,"455106.77787999995"
2012-07-01,"394.31521426921427","42755.031650000004","0.94",,"1127.736234886873","430405.05829000002",,,,,,,"473160.08994000003"
2012-08-01,"226.33332231132232","24186.89962","0.96577999999999997","19.975380000000001","1170.8692996405432","450890.12087000004",,,,,,,"475096.99587000004"
2012-09-01,"456.51908009108013","53586.529190000001","0.94",,"1367.7384364106658","524570.43408000004",,,,,,,"578156.96327000007"
2012-10-01,"451.41288242088251","52231.985260000001","1.1207499999999999","162.37278000000001","1407.66865562253","527146.37076000008",,,,,,,"579540.72880000004"
2012-11-01,"377.08429825429829","42300.639820000004","1.01478","55.554140000000004","1389.3833948302545","521239.90795000008",,,,,,,"563596.10191000008"
2012-12-01,"355.69763858363865","36822.859570000001","1.1620200000000001","156.97423000000001","1414.5430379417637","529898.96155000001",,,,,,,"566878.79535000003"
2013-01-01,"482.60957284757285","54732.641530000001","3.1114411114411116","364.98180000000008","1362.7855360064073","495488.83523000008","229.52056356","229.52056356",,,,,"550586.45856000006"
2013-02-01,,,"0.65287265287265295","78.752100000000013","1320.0597184487801","485527.57822000008","265.26461169000004","265.26461169000004",,,,,"485606.33032000007"
