"MES","SEMU01","SEMU02","SEMU03","SEMU04","SEMU05","SEMU06","SEMU07","SEMU08","SEMU09","SEMU10","SEMU11"
2007-07-01,"14106.93525754604","14108.947435472277","14107.941346509158","15747.254698000224","6029.9118637592719","2458.9889485135518","3573.6454972806009","7536.6661481575247","418293.68606599147","21130595.221929897","8465.0624879583847"
2007-08-01,"15436.225811358872","15322.416203022211","15379.321007190541","15756.230112787067","7187.7436716954635","3135.1856389793984","3501.3659396208354","7878.9493524061427","416235.50029089523","21507567.012326356","2311.1088530420429"
2007-09-01,"14734.285763613265","15009.054610305851","14871.670186959558","15747.278652869445","6002.8782257658531","3084.9758722518986","3149.8207570145646","7394.5834388919629","397971.5868342357","21876410.031455811",
2007-10-01,"15468.048746171942","15207.610862421257","15337.8298042966","15747.236127252572","7251.680108622747","3431.7247554746855","2937.5100530450231","7704.3573124058403","417424.86845327506","23656652.420328904","2395.2919483712358"
2007-11-01,"16463.128732164594","16072.528474557479","16267.828603361037","15781.199941523924","5549.0666766283521","3673.3957584256191","2891.9325686877833","7738.8212387979074","449622.73536314699","25254291.924222887","1437.4575269611466"
2007-12-01,"16679.908108091928","16580.751875726131","16630.329991909028","15754.749662096516","5543.6676957414948","3000.2855329232912","2506.1632645960349","7046.8940093241845","467824.41232508351","25762154.967288304","5466.3674263046005"
2008-01-01,"16573.244613385828","16209.459185432175","16391.351899409001","15747.276796229533","5544.785222575385","2689.7737152330865","2372.8032114030948","6991.6473266880266","474180.81275489676","27453981.526201401","490.71494893221916"
2008-02-01,"16425.944962723479","16491.138561941392","16458.541762332436","15747.260080706988","5731.7951238737805","2741.1849261618718","2334.1753911849528","7225.9904604583753","523944.48464918806","29051234.304703474","4064.4696844993146"
2008-03-01,"17638.917200807911","18029.282510014316","17834.099855411114","15744.94283690884","6572.0646657599427","3195.1989355792225","2511.3087281586631","8062.9049166751574","599113.9821679733","30971936.656876251","2100.1884513167438"
2008-04-01,"20251.256974491105","20260.047012171122","20255.651993331114","15747.284585536891","5834.1429552942682","2838.8797367309126","2397.1299390844551","8549.4741859629885","597186.64352180401","29623862.54141032","6692.2397866612146"
2008-05-01,"22938.321413675232","22776.578293079507","22857.449853377369","15747.230010014309","6065.6532026864761","2620.2440313308643","2244.2464376495423","8645.7463199646263","554690.85614351067","28421513.072046641","3218.3110229714107"
2008-06-01,"23699.753544088828","22474.43604694225","23087.094795515539","15747.25246385179","6313.0653050580268","2084.3157415173296","2101.3265956266637","8363.2423200557569","546568.55430932913","28724850.013053697","7105.7513532297407"
2008-07-01,"22891.15852688441","22992.861376983819","22942.009951934117","15748.177866241211","6306.9159804346482","1820.3382133045311","1888.7074321606297","8338.9298922749313","559329.66592861852","29733355.853133839","15822.92576600666"
2008-08-01,"22770.913833177772","21586.386833106411","22178.65033314209","15747.267274022708","7168.3127802881399","2005.4777851909062","1784.2432069035099","8163.0543039716686","545853.79357496137","28080288.053365678","13135.465990448711"
2008-09-01,"19885.082245908339","19816.991816840738","19851.037031374537","15747.282234771783","6631.9785744771116","1874.6502025686439","1739.9487595194289","7784.4674655065064","426067.1503297303","25692179.936584026","20144.923856381924"
2008-10-01,"16976.950760342002","17325.507811232637","17151.229285787318","15747.297825509642","6576.4811161517782","1727.1088418038771","1649.6708108771165","7068.2878847774882","388546.06316233636","27957373.087686565","559.94005994006011"
