"MES","AMBM01","AMBM02","AMBM03","AMBM04","AMBM05","AMBM06","AMBM07","AMBM08","AMBM09","AMBM10","AMBM11","AMBM12","AMBM13","AMBM14","AMBM15","AMBM16"
2009-10-01,"59936142.146373294","59924216.082359195","-11926.0640141","-14869605.046034338","1402107.2953981","1700579.5632153","-298472.26781719999","11491832.581752628","0","-8505325.1828451529","26471486.631139278","14950892.71957","9204172.2542000003","443884.79787797882","1872536.8594912998","11520593.911569279"
2009-11-01,"61058361.771170199","61060341.526485197","1979.7553150000001","-14810160.829222972","1382130.0185341001","1700708.6289354002","-318578.61040130001","11218168.315796684","0","-9504111.0195406564","26908051.625143986","15156235.173669999","9316923.3168499991","411197.88645699027","2023695.2481669998","11751816.451473989"
2009-12-01,"59803315.531417802","59806022.747445002","2707.2160271999996","-12037861.640102699","1363710.9500244004","1700107.7628236003","-336396.81279920001","10916882.840770433","0","-8644190.7217186224","29568091.278850451","17079537.462860003","10203934.39941","417021.86947494891","1867597.5471055","12488553.81599045"
2010-01-01,"59651821.746690594","59651552.061429292","-269.68526130000004","-12046325.54996266","1345657.6847679005","1699841.7802548003","-354184.09548689995","9254631.8622389827","0","-8343662.3121537287","31352859.707103126","16393511.08664","12114576.309049997","392771.47833741567","2452000.8330757003","14959348.620463114"
2010-02-01,"59408860.21020481","59408061.428270608","-798.7819341999998","-11898433.159611983","1166485.3413148001","1515613.7088330002","-349128.36751819996","8552009.2720534038","0","-8258577.828770766","31866325.291083455","16132999.433329998","12246473.532550002","282464.49488395645","3204387.8303195001","15733325.857753458"
2010-03-01,"58877965.491771698","58886237.634420499","8272.1426487999979","-12534189.589627642","1191800.7341219997","1514661.9388680998","-322861.2047461","7742688.7133919569","0","-8058052.4289436927","31734835.493930407","16082227.919079999","11958110.130229997","192091.39646861219","3502406.0481517999","15652607.574850408"
2010-04-01,"58828476.171528399","58827997.539746501","-478.63178189999985","-14535737.46891183","1170983.7520394996","1514533.3334973997","-343549.58145790006","7101085.8653140338","0","-8205404.3120936891","30157232.277248345","16364132.443359997","10513347.353730001","260083.53170904994","3019668.9484493006","13793099.833888352"
2010-05-01,"58936172.482151896","58940264.371552393","4091.8894005000006","-14921374.404462183","1166095.6339952999","1513740.716547","-347645.0825517","7017797.4478651565","0","-7759771.8691723254","30403324.394647531","16657145.177979996","10766871.81593","282885.63124783779","2696421.7694897004","13746179.216667537"
2010-06-01,"59505108.00685209","59499653.68367549","-5454.3231765999999","-16051877.890473671","1186149.2433835999","1510981.1672930999","-324831.92390950001","6894359.8721244764","0","-7841730.017604284","29903289.470033258","16848030.620670002","10008424.416689999","254110.3626714579","2792724.0704218","13055258.849783257"
2010-07-01,"60059586.213761203","60062575.498927504","2989.2851662999997","-17451955.82385318","1149029.1973255998","1511699.0651924999","-362669.86786689999","6715767.0708224829","0","-8142191.9643680453","28898700.552043095","17128771.923070002","8841676.8090600017","251872.78154799348","2676379.0383650996","11769928.628973095"
2010-08-01,"60898116.207635291","60907225.103593394","9108.8959580999999","-18695844.246511422","1162700.4061178998","1511360.9069299998","-348660.50081210001","6616041.7353618108","0","-8129280.4304340053","28619650.201445952","17032519.319649994","8604347.3465400022","248268.46849886369","2734515.0667570997","11587130.881795965"
2010-09-01,"63137501.550585389","63137186.832641989","-314.71794340000019","-19622556.781357232","1181413.0452564997","1512135.1419878998","-330722.0967314","6831080.0028989306","0","-9209135.6573618352","28656142.154223897","17150346.000349998","8352654.8357299985","246166.38276368953","2906974.9353802004","11505796.153873889"
2010-10-01,"64177562.386113293","64175800.356103592","-1762.0300096999997","-20206230.807064489","1158325.5548749","1512377.547645","-354051.99277010001","7297222.6736949282","0","-9653951.6046479791","28178482.855580792","17589633.625610001","7247625.9527099952","237546.62855250121","3103676.6487083002","10588849.229970796"
2010-11-01,"64544092.582192801","64546841.092735201","2748.5105423999998","-20380590.815921824","1158087.9419219999","1509561.1879135999","-351473.24599159998","7563933.3569476232","0","-8967800.1019730438","28789856.249272317","18243160.44562","7214076.0368600022","234874.65833950089","3097745.1084527997","10546695.803652301"
2010-12-01,"67523803.824118003","67527617.543094203","3813.7189761999998","-19033717.018390909","1292932.4461788","1540134.0896598001","-247201.64348099998","8033229.5841859747","0","-9172314.2865791824","32577475.381140739","22484783.986719999","8624557.0091400016","256637.34604393388","1211497.0392368005","10092691.394420736"
2011-01-01,"69511895.211411402","69509261.353923604","-2633.8574878000004","-20395683.250634994","1165866.7598908001","1505481.9798652001","-339615.21997440007","8405552.5168042704","0","-8917947.1294097155","32958579.07445322","21237391.72295","8617750.6105799973","251430.48212261676","2852006.2588005997","11721187.351503214"
2011-02-01,"71670840.316464007","71665470.513342813","-5369.8031211999987","-21398482.908853341","1166556.3279627999","1501259.8268500001","-334703.49888720002","9201524.9296303913","0","-9483391.2840206735","32753997.521922406","20926812.822209999","8136049.98116","265121.60253880551","3426013.1160135996","11827184.699712405"
2011-03-01,"72352563.366167992","72345938.155424997","-6625.2107430000005","-20515376.437737089","1096133.1636680001","1497238.2001820002","-401105.03651399998","9898914.1137267705","0","-9715907.1224470939","33318498.855925031","20716928.908209998","8174943.7631400041","278643.51233702851","4147982.6722379997","12601569.947715033"
2011-04-01,"74080943.33138071","74069133.936422303","-11809.3949584","-22720668.638767067","1135944.2014239","1520633.0068842999","-384688.80546040001","11097921.099213129","0","-11218753.741384959","30179544.053439453","21172658.701979998","5699656.7258099997","111465.42423035669","3195763.2014191002","9006885.3514594566"
2011-05-01,"73562654.616618708","73562133.850506604","-520.76611209999999","-24039985.288323496","1298665.8079592003","1620241.5905833002","-321575.78262409999","10673731.1879902","0","-10759662.486531496","29387941.461732715","21479375.922189996","5167255.4391000019","98107.200542819497","2643202.8998999004","7908565.5395427216"
2011-06-01,"73969250.294641599","73968047.618697599","-1202.6759440000001","-23153205.909382429","1135081.8582756","1460588.7445968001","-325506.8863212","10264381.808590693","0","-10528975.517654656","31157768.917289414","22239756.138600003","6136590.4708699947","69817.430221019749","2711604.8775983993","8918012.7786894143"
2011-07-01,"75822954.163600504","75821999.997132301","-954.16646820000051","-24583659.839785591","1190864.9637164001","1508389.4992814001","-317524.53556499997","9795498.1094088461",,"-11197158.697028449","31437502.481094018","22681374.299830001","6277736.8211299973","54931.04217331457","2423460.3179607","8756128.1812640131"
2011-08-01,"79912282.316362485","79934836.422144592","22554.105782099999","-25793166.578589763","1181444.8711160002","1458493.8687824002","-277048.99766640004","9581445.0702366047",,"-13083975.769549731","32635139.769102376","22914441.058400001","7027370.7598899975","55045.690111885073","2638282.2607005006","9720698.710702382"
2011-09-01,"78373953.385855496","78372482.601707697","-1470.7841478","-26182201.187240429","1173214.8700196003","1457809.1994299002","-284594.32941030001","9050848.7027212605",,"-9994050.1658250093","34320068.200088397","23192246.391119998","7993729.0474700006","55712.641910197257","3078380.1195882005","11127821.808968399"
2011-10-01,"81771252.434603393","81772444.488698989","1192.0540956000002","-26496707.457077902","1180401.0879733004","1458264.1479362003","-277863.05996290001","9121970.3859183304","0","-11957552.772185985","35375422.907394469","23424677.098189998","8556878.426620001","56161.223516279701","3337706.1590682007","11950745.809204482"
2011-11-01,"83107108.797405005","83105865.002847403","-1243.7945576","-25953885.438838132","1033806.9248980003","1455491.2160748004","-421684.29117680003","9870618.2600578889","0","-10621674.093384132","37694737.930022851","23472053.859399997","10461719.584040005","54875.6668124547","3706088.8197704004","14222684.070622861"
2011-12-01,"82447240.178248405","82450478.707279205","3238.5290308000003","-23173066.22482226","1072530.0812348002","1455186.7457450002","-382656.66451020003","9839279.376663249","0","-8739320.6110997275","41768104.04689797","25813629.415529996","12218148.283860004","57708.936864969255","3678617.4106430006","15954474.631367972"
2012-01-01,"85674111.63985379","85675432.721709594","1321.0818558000005","-26541033.333452713","1059573.827183","1455326.5323080001","-395752.70512500004","9961432.8513023593","0","-10712766.312071629","39518452.970210083","24903078.670469999","10722172.879490001","62125.283069496152","3831076.1371806012","14615374.299740098"
2012-02-01,"87390352.753660589","87388218.98749879","-2133.7661617999997","-27446881.256784026","1065606.3085166002","1455591.3235746003","-389985.01505800005","10348573.100222429","0","-11489095.311402796","39171409.393767938","24625366.599209998","10798646.555350002","63838.219658136848","3683558.0195498005","14546042.794557938"
2012-03-01,"87442024.061651006","87434750.575699806","-7273.4859512000012","-27543760.440351926","1051593.3795060001","1455463.3347710001","-403869.955265","11053076.497460332","0","-10193487.201234799","39703293.302109942","24540510.893769998","10817825.463840004","64742.638359954595","4280214.3061300004","15162782.40832996"
2012-04-01,"86251619.405583799","86251832.207860202","212.8022764000001","-28166397.392738622","1055430.4774048","1455419.0896918001","-399988.61228700005","11021629.43348447","0","-10095713.455693798","38023309.601071708","24721194.540100005","9667744.8612399977","64951.998083110331","3569418.2016485999","13302115.060971709"
2012-05-01,"85214076.992230192","85215126.911662996","1049.9194327999999","-29605296.717039801","1066103.0537634003","1454734.2089694003","-388631.15520600002","11828855.955106556","0","-8120192.9583229758","36725834.415524259","24672153.357030001","9347517.0941899959","65191.796631263736","2640972.1676729997","12053681.058494259"
2012-06-01,"85336746.029098198","85327100.040478796","-9645.9886194000028","-29131072.705202684","1183071.672702","1454791.0737731999","-271719.40107120003","11709302.436618092","0","-8175614.3150476571","37503828.244931765","25236765.717810001","9805654.6775200013","57843.27331336349","2403564.5762883998","12267062.527121766"
