"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2010-05-01,"8455.6918912700003","8456.2789629199997","0.58707164999999994","1460.0709574792565","1509.3259397532881","49.25498227403159","164.38004809999998","164.38004809999998",,,,,,,,,,,,,
2010-06-01,"8537.3182219299997","8536.5356791499999","-0.78254277999999999","1392.9525863839672","1406.8048299793761","13.852243595408936","175.36472355000001","175.36472355000001",,,,,,,,,,,,,
2010-07-01,"8616.870331959999","8617.2992107499995","0.42887879000000001","1447.9912839262317","1461.4937187354139","13.5024348091822","175.46980211000002","175.46980211000002",,,,,,,,,,,,,
2010-08-01,"8737.1759264900011","8738.4827982200004","1.3068717299999999","1432.983792011478","1447.8678067058827","14.8840146944046","175.57672477","175.57672477",,,,,,,,,,,,,
2010-09-01,"9058.465071820001","9058.4199186000005","-4.5153220000000001E-2","1444.2187154596536","1457.5186216031257","13.299906143472001","186.61693955000001","186.61693955000001",,,,,,,,,,,,,
2010-10-01,"9207.6847038899996","9207.4319018799997","-0.25280201000000002","1520.9263368782929","1531.9043927620805","10.978055883787647","186.72879913999998","186.72879913999998",,,,,,,,,,,,,
2010-11-01,"9273.5765204300005","9273.9714213700008","0.39490093999999998","1544.4597048557889","1556.203310157513","11.743605301724074","186.90633039999997","186.90633039999997",,,,,,,,,,,,,
2010-12-01,"9729.6547296999997","9730.2042569299992","0.54952723000000003","1436.5196425771539","1451.2335614618801","14.713918884726127","186.90633039999997","186.90633039999997",,,,,,,,,,,"11353.080702677154","11368.344148791879","15.263446114726127"
2011-01-01,"10016.12322931","10015.74371094","-0.37951836999999999","1132.2709742961715","1145.8145425206612","13.543568224489832","248.28437400000001","248.28437400000001",,,,,,,,,,,"11396.678577606172","11409.842627460661","13.164049854489832"
2011-02-01,"10357.057849199999","10356.281866089999","-0.77598310999999998","1149.4797365604411","1165.7615057805576","16.28176922011653","248.46419739000001","248.46419739000001",,,,,,,,,,,"11755.001783150439","11770.507569260557","15.50578611011653"
2011-03-01,"10485.878748719999","10484.918573249999","-0.96017547000000003","1112.06474509993","1123.8847673914752","11.820022291545229","248.65205136","248.65205136",,,,,,,,,,,"11846.595545179929","11857.455392001475","10.859846821545229"
2011-04-01,"10751.951136629999","10750.23714607","-1.7139905600000001","1364.1836101023421","1374.9818109201262","10.798200817784164","262.57355331999997","262.57355331999997",,,,,,,,,,,"12378.708300052342","12387.792510310126","9.0842102577841644"
2011-05-01,"10676.72781083","10676.65222794","-7.558289E-2","1308.1671004604389","1319.1602701499432","10.993169689504384","262.79229979999997","262.79229979999997",,,,,,,,,,,"12247.687211090439","12258.604797889942","10.917586799504384"
2011-06-01,"10751.344519570001","10751.169712020001","-0.17480755000000001","1343.8133362192505","1355.0011119918452","11.187775772594705","262.90951601","262.90951601",,,,,,,,,,,"12358.06737179925","12369.080340021846","11.012968222594704"
2011-07-01,"11036.82011115","11036.681222290001","-0.13888886","1312.0946175305405","1325.9423671311235","13.847749600583029","277.37785972","277.37785972",,,,,,,,,,,"12626.292588400542","12640.001449141124","13.708860740583029"
