"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2008-04-01,"2259.7043100000001","19462.537410000001","21722.241720000002","1621.3168000000001","2217.1207599999998","19761.216270000001","75380.910159999999","389.21181999999999","48552.71931","12519.044310000001","356.15190000000001","933.96676999999988","183453.89981999999"
2008-05-01,"2143.72973","19650.094559999998","21793.824289999997","1569.328","1929.0959","14622.70945","75133.505220000006","522.24621999999999","45986.983789999998","12284.346380000001","194.74000000000004","1327.3138300000001","175364.09307999999"
2008-06-01,"6281.7986100000007","24544.834360000001","30826.632970000002","2265.3535999999999","2842.2708499999999","15172.34778","73509.837400000004","602.01353000000006","51720.15352","13203.09006","224.11084999999997","1360.1642099999999","191725.97476999997"
2008-07-01,"6258.91201","12528.24431","18787.156320000002","1580.4928","1642.0315599999999","14647.429179999999","70224.223569999987","656.56306000000006","58293.807620000007","12300.986649999999","1694.5307600000001","1336.7022499999998","181163.92376999999"
2008-08-01,"9700.6401900000001","24285.388039999998","33986.028229999996","2469.6530600000001","2821.3158699999994","16101.49886","62932.754260000002","646.67406000000005","51879.331010000002","13428.274550000002","511.67776000000009","1417.1193500000002","186194.32700999998"
2008-09-01,"7377.5391100000006","24092.711520000001","31470.250630000002","1819.5824","2802.6165800000003","17966.514460000002","66086.484779999999","442.66996999999998","47436.808239999998","10290.48883","2924.4335599999999","1145.97219","182385.82164000001"
2008-10-01,"2543.2090200000002","19571.241000000002","22114.450020000004","2224.2496000000001","1969.6970000000001","13210.349470000001","49861.374230000001","674.26143999999999","41583.594559999998","11988.121580000001","11.21","1570.44676","145207.75466000001"
2008-11-01,"6868.0714699999999","16893.81277","23761.884239999999","1587.2233999999999","554.13499999999999","11959.351920000001","46453.135270000006","256.12344000000002","41532.269420000004","9520.4761099999996",,"1059.2128200000002","136683.81161999996"
2008-12-01,"2855.2988300000002","15906.757150000001","18762.055980000001","2076.7673999999997","341.98489000000001","9248.0106300000007","37272.544950000003","94.158070000000009","35688.443619999998","9747.7776999999987","61.551380000000009","1203.8072400000001","114497.10186000001"
2009-01-01,"3085.9920400000001","16119.706210000002","19205.698250000001","2618.08041","173.05260000000001","7623.4692100000002","34543.235630000003","127.60879","28124.145570000001","11669.821899999999","30.653699999999997","600.58177000000001","104716.34782999998"
