"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
2007-01-01,"1536070.64922","376768.57935000001","1139105.9828699999","62.873179999999998","20133.213820000001","1656651.3105400002","69059.348870000002","1586724.47444","867.48722999999995",,"11355.937149999998","1.74122","11176.522939999999","177.67299","162726.61873999998","0","46046.225989999992","116680.39274999998","24844.991019999998","22365.587509999998","2479.4035100000001","471711.9824299998","522277.31416000001"
2007-02-01,"1558964.5560100002","386294.95763999998","1151418.4569900001","66.541110000000003","21184.600269999999","1658222.5009399997","77259.446219999983","1580650.0608799998","312.99384000000003",,"11355.96379","0.11322","11178.6268","177.22377","163303.75631","0","46971.971689999998","116331.78462000001","23266.240990000002","20822.041160000001","2444.19983","472619.90833000006","526714.23312999995"
2007-03-01,"1583282.7149399999","407259.41561999999","1152948.6566600001","70.46575","23004.176910000002","1663738.2217599996","93154.447520000002","1570270.6412999998","313.13294000000002",,"11372.61737","0.11322","11195.28038","177.22377","163077.05772000001","0","47096.387179999998","115980.67054000001","24481.144470000007","22024.025420000005","2457.1190499999998","480300.85859000002","528131.28464000009"
2007-04-01,"1587690.41438","414680.24572000001","1148992.0992000001","51.751770000000008","23966.31769","1650692.0564499996","101132.27554999999","1549239.2274899997","320.55340999999999",,"11427.39755","10.779699999999998","11239.39408","177.22377","172599.18211999998","9278.64","47468.304449999996","115852.23766999999","45848.122999999992","45732.470679999991","115.65232","488509.79463000008","519013.41477000003"
2007-05-01,"1628224.61971","435790.01579999994","1167792.2067400001","47.345289999999999","24595.051879999999","1647401.44144","108805.26416999999","1538579.9049499999","16.272320000000001",,"11565.673250000002","21.446180000000002","11367.45255","176.77452","170976.06560999999","6689.5","48791.951380000006","115494.61422999999","3351.5955600000002","3233.3165600000002","118.279","488483.54477000004","524481.90765000007"
2007-06-01,"1669415.9789700001","453860.24093999999","1189091.9914200001","50.77073","26412.975879999998","1643242.46896","116895.06203","1526331.1759600001","16.230969999999999",,"11150.298400000001","21.446180000000002","10952.52693","176.32529","165773.67336000002","0","50627.3992","115146.27416","3798.4647000000004","3696.6221000000005","101.8426","488463.47022999998","501215.28123000002"
2007-07-01,"1679722.37179","496511.28178000002","1151310.4352799999","36.977110000000003","31863.677620000002","1623352.0992999999","139923.64920999997","1483412.3845299999","16.065559999999998",,"11132.548780000001","44.765779999999999","10913.254660000001","174.52833999999999","160879.07018000001","0","47178.600800000007","113700.46938000001","3173.4829700000005","3020.8203300000005","152.66264000000001","486589.95788","497802.28761000006"
2007-08-01,"1700587.7728500003","536094.70762999996","1120523.0104200002","38.078849999999996","43931.97595","1599265.7788099998","168358.96776","1430890.64842","16.16263",,"10529.01895","35.89893","10319.93939","173.18062999999998","159246.64165000001","0","46527.319860000003","112719.32178999999","3414.9581600000001","3302.1478500000003","112.81031","489621.85865000001","499361.88090999995"
2007-09-01,"1702261.6184499997","551966.19841999991","1089585.8575499998","34.481449999999995","60675.081030000001","1570946.1915899997","180611.6195","1390318.3918799998","16.180209999999999","0","11705.642919999998","51.121650000000002","11481.340639999999","173.18062999999998","158289.37290999998","0","45596.40567","112692.96723999998","7155.0134600000001","3894.8539299999998","3260.1595299999999","492964.51503999997","501577.72653999995"
2007-10-01,"1718533.5993500003","552928.16616000014","1082646.46254","32.285789999999999","82926.684859999994","1536590.8702400001","183001.91912999997","1346944.10136","16.125399999999999","6628.7243499999995","10503.763730000002","72.826650000000001","10258.654920000001","172.28216","146473.42755999998","0","34686.729469999998","111786.69808999999","6551.7415099999998","3236.44517","3315.2963400000003","500004.41359999997","496954.69062000001"
