"MES","BCDA01","BCDA02","BCDA03","BCDA04","BCDA05","BCDA06","BCDA07","BCDA08","BCDA09","BCDA10","BCDA11","BCDA12","BCDA13"
2010-10-01,,"35087.71574","991100.35676",,,"8.9830000000000005","106793.84704000001","1132990.9025399999","0","652188.80158999993","0","96309.867389999999","384492.23355999996"
2010-11-01,,"29713.742809999996","974513.53482000006",,,"3.8220000000000001","127769.52546000002","1132000.62509","0","649681.7540800001","0","96713.773740000019","385605.09726999997"
2010-12-01,,"6482.4033099999997","1087578.6117900002",,,"10.032","103528.48251999998","1197599.5296200002","0","668798.26860000007","0","138612.69296999997","390188.56805"
2011-01-01,,"11767.679899999999","1071445.1091100001",,,"3.9379999999999997","88803.624679999994","1172020.3516900002","0","670120.66253000009","0","111391.61599999999","390508.07315999997"
2011-02-01,,"7733.7868600000002","1100243.33886",,,"4.9319999999999995","89719.201209999985","1197701.2589300002","0","660967.62175000005","0","145243.40649000002","391490.23069000005"
2011-03-01,,"72333.849679999999","1137317.24431",,,"2.5730000000000004","90979.564920000004","1300633.2319100001","0","729170.90503999998","0","179508.87940000003","391953.44747000001"
2011-04-01,,"54217.066900000005","1114513.0142399999",,,"3.3939999999999997","86647.367760000023","1255380.8429","0","731271.78591999994","0","132950.24404999998","391158.81292999996"
2011-05-01,,"2682.8022799999999","1237395.31586",,,"4.101","86532.068369999994","1326614.2875099999","0","727164.48674999992","0","205794.46916999997","393655.33158999996"
2011-06-01,,"6280.2715500000004","1264559.1463999997",,,"2.2250000000000001","87562.402820000003","1358404.0457699997","0","726986.10186000005","0","235897.36976","395520.57414999994"
2011-07-01,,"12997.14711","1248692.6383599997",,,"3.1789999999999998","88378.226920000001","1350071.1913899998","0","725793.63514000003","0","227072.86313000001","397204.69311999995"
2011-08-01,,"1009.4451299999999","1258801.7760199998",,,"6.34","89061.822440000004","1348879.3835899998","0","717968.14881000004","0","233001.86482000002","397909.36995999992"
2011-09-01,,"8351.7975800000004","1264418.1029100001",,,"3.81","88793.861369999999","1361567.5718600003","0","713504.53998","0","246554.64978000004","401508.38209999993"
2011-10-01,,"2078.1572000000001","1286442.5959999999",,,"23.449000000000002","90041.828050000011","1378586.0302499998","0","715819.81403999997","0","262317.16993000003","400449.04627999995"
2011-11-01,,"149287.35962","1369592.2115600002",,,"10.647","167059.96634999997","1685950.1845300002","0","712902.91740000003","0","572038.06021000003","401009.20691999997"
2011-12-01,,"2986.4923900000003","1496294.9739199996",,,"18.218","169197.45862000002","1668497.1429299996","0","713001.94128999999","0","549158.06955000001","406337.13208999997"
2012-01-01,,"7473.9817299999995","1556597.6944099998",,,"3.8860000000000001","99542.731309999988","1663618.2934499995","0","713001.94128999999","0","542911.49912000005","407704.85303999996"
2012-02-01,,"1009.08682","1603682.8183999998",,,"2.87","96026.555829999998","1700721.3310499999","0","704591.34837000002","0","587066.05596999999","409063.92670999997"
2012-03-01,,"2514.5115400000004","1624201.2049800002",,,"3.665","93909.092440000008","1720628.4739600003","0","703766.54170000006","0","606190.35945999995","410671.57279999997"
2012-04-01,,"6905.5805799999998","1613776.9042400001",,,"3.2349999999999999","95718.143989999997","1716403.8638100002","0","703766.54170000006","0","600180.85220999992","412456.46989999997"
2012-05-01,,"3945.6457000000005","1688996.1122699995",,,"4.2919999999999998","95022.841149999993","1787968.8911199993","0","701852.05449999997","0","672144.28946","413972.54715999996"
2012-06-01,,"1390.18164","1691024.0472500001",,,"3.7919999999999998","94632.295809999996","1787050.3167000001","0","701248.98208999995","0","670401.22453999997","415400.11007"
2012-07-01,,"6417.8224699999992","1763251.2671899996",,,"12.544","96938.640179999988","1866620.2738399995","0","701248.98208999995","0","748578.4669","416792.82485000003"
2012-08-01,,"6252.3902600000001","1786179.77159",,,"4.01","98248.664739999993","1890684.83659","0","692838.37015999993","0","779353.12951","418493.33692000003"
2012-09-01,,"1542.5469700000001","1835615.69854",,,"5.8380000000000001","98796.106459999995","1935960.1899699999","0","691859.10571999999","0","824189.95314","419911.13111000002"
