"MES","AMFV01","AMFV02","AMFV03","AMFV04","AMFV05","AMFV06","AMFV07","AMFV08","AMFV09","AMFV10","AMFV11","AMFV12","AMFV13"
2005-01-01,"-340197.49745000154","-456857.75735684857","-247217.02395199984","-209640.73340484872","-797055.25480685011","-382087.91672343481","7950.9815859999508","-2751.1854202263057","189408.41799790598","-187479.70255975518","-609575.55224709492","-8990.3541770987213","-600585.1980699962"
2005-02-01,"222563.91636347957","9731.7735083773732","24703.193501800299","-14971.419993422925","232295.68987185694","121848.99849596433","-2189.6307203117758","66333.681965289637","-83859.866771984845","102133.18296895735","130162.50690289959","308262.52735289931","-178100.02044999972"
2005-03-01,"114797.33231379092","-82734.646718312055","-268072.50408979878","185337.85737148672","32062.685595478863","130806.69252973143","-51876.498630404007","-77901.797740617767","262009.4552409756","263037.85139968526","-230975.16580420639","-115194.99973420426","-115780.16607000213"
2005-04-01,"948268.1542412024","746412.35092199966","301353.08021080121","445059.27071119845","1694680.5051632021","483630.71283320058","-4534.4272996000946","125257.3590876013","-363632.91001800634","240720.73460319545","1453959.7705600066","1073902.1781800017","380057.59238000493"
2005-05-01,"112371.80176999979","32157.11467240192","-229439.78217800148","261596.8968504034","144528.91644240171","-178980.94065959938","25988.218696400058","-17823.854848397896","141932.88236400718","-28883.694447590038","173412.61088999175","123786.15148999542","49626.459399996325"
2005-06-01,"400747.79194120131","116502.93172463216","226252.37954902835","-109749.44782439619","517250.72366583347","438288.68375028111","-16542.169122399762","142237.62218279578","188637.96337195113","752622.10018262826","-235371.37651679479","-219700.56225679815","-15670.814259996638"
2005-07-01,"961401.91613410972","-60151.2064403072","-110415.48132283986","50264.274882532656","901250.70969380252","347896.2274140846","133314.86494280538","-10573.559110168368","-75368.584138014819","395268.94910870679","505981.76058509573","218459.89729510248","287521.86328999326"
2005-08-01,"1088906.3611004055","-213157.25690377504","-180475.71805212274","-32681.538851652294","875749.10419663042","-219928.9410254648","10868.142017403152","93914.827183814719","250054.33742747689","134908.36560322996","740840.73859340046","166317.20925339684","574523.52934000362"
2005-09-01,"801927.39905790612","167244.70187191479","20607.106342600659","146637.59552931413","969172.10092982091","58136.626759760082","50463.234606907237","428872.10597821139","269668.64513322851","807140.61247810721","162031.4884517137","-22576.352558292449","184607.84101000614"
2005-10-01,"1340029.9276852012","29543.857994552702","-69320.425506845117","98864.283501397818","1369573.7856797539","462714.39074576739","117543.2010591994","59649.989089017734","-27600.552467621397","612307.02842636313","757266.75725339074","-17147.205936603248","774413.96318999398"
