"MES","BCCA01","BCCA02","BCCA03","BCCA04","BCCA05","BCCA06","BCCA07","BCCA08","BCCA09","BCCA10","BCCA11","BCCA12","BCCA13","BCCA14","BCCA15","BCCA16"
2006-10-01,"23713293.352476001","4378871.4863189999","2692606.7256254996","16641815.140531499","1167368.1936750002","1398402.0789315","6163028.1995098209","6163028.1995098209","0","0","0","2035752.0625845005","2255212.2110910006","-219460.1485065","1012238.6500156856","35490082.537192509"
2006-11-01,"24514905.632131498","4609727.6012280006","2604026.2043025","17301151.826600999","1167368.1936750002","1398550.176063","6189891.9684663899","6189891.9684663899","0","0","0","2054292.778558","2270925.6604169998","-216632.88185899996","1016825.2765705021","36341834.025464386"
2006-12-01,"25317554.3593596","4580286.1826214995","3449740.2054908001","17287527.971247301","1164431.4183450001","1394996.8377163","6220472.3105081106","6220472.3105081106","0","0","0","2015642.5982008995","2238543.6198417996","-222901.02164090003","1013914.3761964981","37127011.900326401"
2007-01-01,"25745597.873973601","4667681.7333559003","2539197.6459639999","18538718.494653702","1161494.643015","1462035.4806049999","6253251.2467825497","6253251.2467825497","0","0","0","2028701.4490119002","2240038.9334296002","-211337.4844177","1013446.6134800249","37664527.306868069"
2007-02-01,"26701643.784682199","4752758.8865423994","3194670.5164446002","18754214.3816952","1158557.8676849999","1460612.4809016001","6289791.7734693429","6289791.7734693429","0","0","0","2033257.7821990994","2256623.2304378995","-223365.44823879999","1010904.2234631063","38654767.912400343"
2007-03-01,"27988767.7443741","4763330.6984891994","3166859.6841986999","20058577.3616862","1158557.8676849999","1460325.9078171002","6044846.1644438067","6044846.1644438067","0","0","0","1993351.8087856998","2226971.3554404997","-233619.54665480001","1009651.2594705903","39655500.752576292"
2007-04-01,"29579574.210644402","4903682.0904392991","3262482.7736895001","21413409.346515603","1158557.8676849999","1513295.9949210002","6088904.9593812963","6088904.9593812963","0","0","0","2019262.0957135002","2228683.8665053002","-209421.77079179997","1011739.9040170942","41371335.03236229"
2007-05-01,"30341620.787673302","4682534.0032829996","2522509.9111434999","23136576.8732468","1155621.0923550001","1574738.8193877998","6130084.3602970354","6130084.3602970354","0","0","0","2089729.9068454001","2293594.6884292001","-203864.78158380001","999703.47887413378","42291498.44543267"
2007-06-01,"30519642.066203497","4644349.1906245006","2821486.0137935001","23053806.861785498","1152684.317025","1566654.0718135","6173003.6754959794","6173003.6754959794","0","0","0","2035691.463153","2253624.399768","-217932.93661500001","994742.00275147264","42442417.596442446"
2007-07-01,"31975925.445487801","4710146.7963752998","4304674.7858415004","22961103.863271002","1162537.815705","1554092.9738775","6215513.6124774357","6215513.6124774357","0","0","0","2021864.9106748998","2243143.6716708997","-221278.760996","988856.59391855611","43918791.352141194"
